Invoice_ID,Date,Product_Name,Category,Brand,Supplier,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Customer_Type,Employee,Stock_Remaining,Month
INV00001,2025-10-31,Rice 5kg,Grocery,India Gate,Metro Distributors,2,450,24,876,693.9,182.1,UPI,New,Sneha,112,October
INV00002,2025-12-02,Bread,Bakery,Britannia,XYZ Traders,2,45,6,84,63.15,20.85,Cash,Regular,Sneha,146,December
INV00003,2025-06-11,Toothpaste,Personal Care,Colgate,Metro Distributors,1,110,9,101,74.72,26.28,UPI,Regular,Sneha,146,June
INV00004,2025-05-12,Toothpaste,Personal Care,Colgate,XYZ Traders,5,110,15,535,397.55,137.45,Cash,Regular,Ravi,56,May
INV00005,2025-10-17,Toothpaste,Personal Care,Colgate,ABC Suppliers,2,110,33,187,135.9,51.1,Card,New,Sneha,106,October
INV00006,2025-07-01,Rice 5kg,Grocery,India Gate,XYZ Traders,4,450,40,1760,1334.84,425.16,Cash,New,Priya,55,July
INV00007,2025-06-07,Biscuits,Snacks,Parle,XYZ Traders,5,30,19,131,96.0,35.0,UPI,Regular,Anil,72,June
INV00008,2025-09-15,Cooking Oil,Grocery,Fortune,Metro Distributors,2,180,29,331,226.91,104.09,UPI,New,Priya,145,September
INV00009,2025-01-22,Cooking Oil,Grocery,Fortune,Metro Distributors,4,180,28,692,494.12,197.88,UPI,New,Ravi,84,January
INV00010,2025-05-16,Cooking Oil,Grocery,Fortune,XYZ Traders,5,180,5,895,641.09,253.91,Cash,New,Anil,34,May
INV00011,2025-04-13,Sugar 1kg,Grocery,Madhur,Metro Distributors,4,55,16,204,141.5,62.5,UPI,Regular,Sneha,36,April
INV00012,2025-12-19,Shampoo,Personal Care,Clinic Plus,XYZ Traders,5,220,18,1082,844.43,237.57,Cash,New,Priya,136,December
INV00013,2025-07-17,Sugar 1kg,Grocery,Madhur,Metro Distributors,2,55,4,106,72.85,33.15,Card,Regular,Anil,33,July
INV00014,2025-01-10,Soft Drink,Beverages,Coca-Cola,Metro Distributors,1,45,31,14,10.79,3.21,Cash,New,Anil,94,January
INV00015,2025-05-16,Toothpaste,Personal Care,Colgate,Metro Distributors,3,110,11,319,232.13,86.87,UPI,New,Anil,149,May
INV00016,2025-10-19,Shampoo,Personal Care,Clinic Plus,Metro Distributors,3,220,14,646,479.54,166.46,Cash,New,Priya,30,October
INV00017,2025-01-09,Soft Drink,Beverages,Coca-Cola,Metro Distributors,5,45,19,206,142.14,63.86,UPI,New,Priya,134,January
INV00018,2025-06-11,Soft Drink,Beverages,Coca-Cola,XYZ Traders,3,45,1,134,92.92,41.08,Cash,Regular,Ravi,11,June
INV00019,2025-07-07,Rice 5kg,Grocery,India Gate,Fresh Foods,5,450,6,2244,1614.24,629.76,UPI,Regular,Ravi,135,July
INV00020,2025-01-04,Shampoo,Personal Care,Clinic Plus,XYZ Traders,4,220,14,866,685.42,180.58,Cash,New,Anil,20,January
INV00021,2025-01-02,Sugar 1kg,Grocery,Madhur,ABC Suppliers,1,55,16,39,30.98,8.02,Cash,New,Ravi,44,January
INV00022,2025-07-04,Shampoo,Personal Care,Clinic Plus,ABC Suppliers,4,220,19,861,634.39,226.61,Cash,New,Ravi,55,July
INV00023,2025-03-19,Shampoo,Personal Care,Clinic Plus,Metro Distributors,2,220,19,421,327.8,93.2,UPI,New,Sneha,20,March
INV00024,2025-02-05,Soap,Personal Care,Lux,Fresh Foods,3,40,30,90,62.73,27.27,Cash,Regular,Priya,5,February
INV00025,2025-02-21,Cooking Oil,Grocery,Fortune,XYZ Traders,3,180,13,527,384.49,142.51,UPI,New,Ravi,40,February
INV00026,2025-04-14,Biscuits,Snacks,Parle,Fresh Foods,4,30,1,119,88.28,30.72,Cash,New,Priya,27,April
INV00027,2025-03-27,Soap,Personal Care,Lux,Metro Distributors,1,40,33,7,5.26,1.74,UPI,New,Ravi,126,March
INV00028,2025-06-24,Toothpaste,Personal Care,Colgate,Metro Distributors,2,110,19,201,148.28,52.72,Cash,Regular,Sneha,16,June
INV00029,2025-11-16,Sugar 1kg,Grocery,Madhur,Metro Distributors,2,55,6,104,80.35,23.65,UPI,New,Anil,29,November
INV00030,2025-01-15,Bread,Bakery,Britannia,XYZ Traders,2,45,24,66,51.42,14.58,UPI,Regular,Sneha,102,January
INV00031,2025-09-04,Soft Drink,Beverages,Coca-Cola,Fresh Foods,3,45,31,104,71.92,32.08,Cash,Regular,Priya,117,September
INV00032,2025-12-31,Shampoo,Personal Care,Clinic Plus,Fresh Foods,3,220,28,632,467.01,164.99,UPI,Regular,Ravi,68,December
INV00033,2025-12-09,Sugar 1kg,Grocery,Madhur,XYZ Traders,3,55,32,133,106.31,26.69,UPI,Regular,Priya,134,December
INV00034,2025-08-06,Bread,Bakery,Britannia,XYZ Traders,2,45,33,57,45.33,11.67,UPI,New,Anil,75,August
INV00035,2025-10-12,Toothpaste,Personal Care,Colgate,Fresh Foods,3,110,28,302,230.44,71.56,UPI,Regular,Priya,117,October
INV00036,2025-11-16,Cooking Oil,Grocery,Fortune,Fresh Foods,2,180,1,359,282.82,76.18,Card,Regular,Priya,6,November
INV00037,2025-06-23,Bread,Bakery,Britannia,Metro Distributors,4,45,1,179,123.9,55.1,UPI,Regular,Anil,113,June
INV00038,2025-11-30,Soap,Personal Care,Lux,Metro Distributors,1,40,18,22,17.22,4.78,UPI,Regular,Priya,147,November
INV00039,2025-04-15,Soft Drink,Beverages,Coca-Cola,Fresh Foods,4,45,9,171,116.01,54.99,UPI,Regular,Anil,50,April
INV00040,2025-12-05,Bread,Bakery,Britannia,XYZ Traders,4,45,40,140,96.91,43.09,Card,Regular,Anil,6,December
INV00041,2025-12-28,Toothpaste,Personal Care,Colgate,ABC Suppliers,3,110,11,319,250.48,68.52,Card,New,Sneha,101,December
INV00042,2025-02-15,Rice 5kg,Grocery,India Gate,XYZ Traders,4,450,23,1777,1316.06,460.94,UPI,New,Priya,138,February
INV00043,2025-11-04,Rice 5kg,Grocery,India Gate,Metro Distributors,5,450,38,2212,1676.69,535.31,UPI,New,Priya,100,November
INV00044,2025-09-22,Shampoo,Personal Care,Clinic Plus,Fresh Foods,4,220,5,875,581.92,293.08,Cash,New,Priya,99,September
INV00045,2025-07-27,Milk 1L,Dairy,Amul,Fresh Foods,3,65,15,180,126.72,53.28,UPI,Regular,Ravi,121,July
INV00046,2025-07-24,Bread,Bakery,Britannia,Metro Distributors,5,45,18,207,151.44,55.56,Card,New,Priya,87,July
INV00047,2025-09-05,Biscuits,Snacks,Parle,Fresh Foods,3,30,29,61,43.38,17.62,Card,New,Ravi,143,September
INV00048,2025-05-27,Soft Drink,Beverages,Coca-Cola,XYZ Traders,4,45,31,149,105.68,43.32,Cash,New,Ravi,123,May
INV00049,2025-12-06,Shampoo,Personal Care,Clinic Plus,Fresh Foods,5,220,38,1062,844.28,217.72,Card,Regular,Ravi,7,December
INV00050,2025-05-03,Soap,Personal Care,Lux,ABC Suppliers,3,40,4,116,75.63,40.37,Card,New,Priya,47,May
INV00051,2025-10-07,Biscuits,Snacks,Parle,Fresh Foods,3,30,40,50,32.93,17.07,UPI,New,Anil,121,October
INV00052,2025-11-10,Bread,Bakery,Britannia,Metro Distributors,1,45,36,9,6.42,2.58,Card,Regular,Priya,109,November
INV00053,2025-02-16,Rice 5kg,Grocery,India Gate,Fresh Foods,4,450,26,1774,1298.2,475.8,Cash,New,Sneha,11,February
INV00054,2025-09-08,Soft Drink,Beverages,Coca-Cola,Fresh Foods,2,45,6,84,60.84,23.16,Cash,New,Priya,54,September
INV00055,2025-05-24,Milk 1L,Dairy,Amul,ABC Suppliers,1,65,7,58,43.19,14.81,Cash,New,Ravi,31,May
INV00056,2025-10-17,Biscuits,Snacks,Parle,Fresh Foods,3,30,23,67,51.69,15.31,Card,Regular,Ravi,101,October
INV00057,2025-06-05,Biscuits,Snacks,Parle,ABC Suppliers,2,30,37,23,14.99,8.01,Card,New,Anil,51,June
INV00058,2025-08-10,Sugar 1kg,Grocery,Madhur,Metro Distributors,1,55,16,39,27.67,11.33,UPI,New,Priya,63,August
INV00059,2025-03-21,Shampoo,Personal Care,Clinic Plus,ABC Suppliers,2,220,26,414,278.27,135.73,Cash,Regular,Ravi,123,March
INV00060,2025-09-04,Cooking Oil,Grocery,Fortune,XYZ Traders,3,180,7,533,418.49,114.51,Card,New,Anil,39,September
INV00061,2025-04-11,Milk 1L,Dairy,Amul,ABC Suppliers,4,65,27,233,182.12,50.88,UPI,New,Priya,23,April
INV00062,2025-06-29,Cooking Oil,Grocery,Fortune,ABC Suppliers,4,180,34,686,528.5,157.5,Card,New,Ravi,62,June
INV00063,2025-11-15,Rice 5kg,Grocery,India Gate,ABC Suppliers,1,450,15,435,289.66,145.34,UPI,Regular,Ravi,23,November
INV00064,2025-07-09,Sugar 1kg,Grocery,Madhur,ABC Suppliers,2,55,25,85,62.11,22.89,Cash,New,Anil,53,July
INV00065,2025-12-22,Bread,Bakery,Britannia,ABC Suppliers,1,45,27,18,12.37,5.63,Cash,Regular,Ravi,133,December
INV00066,2025-02-18,Cooking Oil,Grocery,Fortune,ABC Suppliers,3,180,33,507,349.22,157.78,Card,New,Anil,82,February
INV00067,2025-07-22,Soap,Personal Care,Lux,Metro Distributors,1,40,19,21,14.13,6.87,Card,New,Priya,63,July
INV00068,2025-07-24,Soft Drink,Beverages,Coca-Cola,ABC Suppliers,3,45,2,133,100.94,32.06,Cash,Regular,Priya,125,July
INV00069,2025-09-04,Shampoo,Personal Care,Clinic Plus,XYZ Traders,5,220,34,1066,801.15,264.85,Card,New,Ravi,100,September
INV00070,2025-08-10,Bread,Bakery,Britannia,ABC Suppliers,5,45,26,199,137.06,61.94,Cash,New,Sneha,41,August
INV00071,2025-01-22,Toothpaste,Personal Care,Colgate,Metro Distributors,5,110,28,522,402.43,119.57,UPI,New,Priya,105,January
INV00072,2025-09-22,Toothpaste,Personal Care,Colgate,ABC Suppliers,1,110,13,97,70.01,26.99,UPI,New,Priya,118,September
INV00073,2025-06-18,Soft Drink,Beverages,Coca-Cola,Metro Distributors,3,45,18,117,81.55,35.45,Cash,Regular,Sneha,28,June
INV00074,2025-05-14,Bread,Bakery,Britannia,ABC Suppliers,5,45,35,190,132.82,57.18,UPI,New,Anil,55,May
INV00075,2025-10-19,Milk 1L,Dairy,Amul,XYZ Traders,1,65,3,62,41.64,20.36,UPI,Regular,Ravi,142,October
INV00076,2025-09-30,Bread,Bakery,Britannia,XYZ Traders,1,45,17,28,20.43,7.57,Card,New,Anil,54,September
INV00077,2025-12-03,Biscuits,Snacks,Parle,ABC Suppliers,5,30,9,141,98.28,42.72,Card,Regular,Ravi,94,December
INV00078,2025-12-28,Soap,Personal Care,Lux,ABC Suppliers,4,40,35,125,92.89,32.11,Card,Regular,Sneha,121,December
INV00079,2025-01-26,Shampoo,Personal Care,Clinic Plus,Metro Distributors,3,220,16,644,469.16,174.84,UPI,Regular,Ravi,70,January
INV00080,2025-06-01,Cooking Oil,Grocery,Fortune,Fresh Foods,5,180,9,891,637.05,253.95,Cash,New,Ravi,136,June
INV00081,2025-11-14,Biscuits,Snacks,Parle,Fresh Foods,2,30,30,30,20.4,9.6,UPI,New,Priya,61,November
INV00082,2025-04-24,Cooking Oil,Grocery,Fortune,Metro Distributors,3,180,21,519,363.58,155.42,Card,Regular,Priya,121,April
INV00083,2025-07-06,Biscuits,Snacks,Parle,XYZ Traders,3,30,40,50,39.82,10.18,Card,Regular,Priya,76,July
INV00084,2025-01-23,Milk 1L,Dairy,Amul,XYZ Traders,5,65,13,312,234.7,77.3,UPI,Regular,Ravi,8,January
INV00085,2025-09-14,Bread,Bakery,Britannia,Metro Distributors,1,45,7,38,27.92,10.08,UPI,Regular,Anil,26,September
INV00086,2025-02-11,Bread,Bakery,Britannia,Fresh Foods,2,45,14,76,60.03,15.97,Card,Regular,Sneha,10,February
INV00087,2025-04-09,Rice 5kg,Grocery,India Gate,XYZ Traders,2,450,39,861,683.49,177.51,Card,New,Sneha,31,April
INV00088,2025-06-26,Milk 1L,Dairy,Amul,XYZ Traders,5,65,38,287,223.8,63.2,Card,Regular,Priya,129,June
INV00089,2025-12-30,Toothpaste,Personal Care,Colgate,XYZ Traders,4,110,24,416,280.86,135.14,UPI,Regular,Sneha,35,December
INV00090,2025-06-21,Biscuits,Snacks,Parle,Fresh Foods,1,30,36,-6,-4.09,-1.91,Cash,Regular,Sneha,120,June
INV00091,2025-11-28,Milk 1L,Dairy,Amul,XYZ Traders,2,65,39,91,69.62,21.38,Cash,Regular,Anil,100,November
INV00092,2025-07-31,Milk 1L,Dairy,Amul,ABC Suppliers,2,65,0,130,102.37,27.63,Card,Regular,Priya,70,July
INV00093,2025-09-30,Toothpaste,Personal Care,Colgate,Metro Distributors,4,110,5,435,295.58,139.42,Cash,Regular,Sneha,42,September
INV00094,2025-02-09,Biscuits,Snacks,Parle,XYZ Traders,1,30,18,12,8.96,3.04,Cash,New,Anil,122,February
INV00095,2025-05-27,Shampoo,Personal Care,Clinic Plus,XYZ Traders,1,220,21,199,129.94,69.06,UPI,New,Priya,56,May
INV00096,2025-07-29,Rice 5kg,Grocery,India Gate,XYZ Traders,2,450,27,873,665.27,207.73,Cash,New,Priya,75,July
INV00097,2025-10-24,Cooking Oil,Grocery,Fortune,XYZ Traders,2,180,12,348,262.12,85.88,Card,New,Sneha,81,October
INV00098,2025-07-06,Cooking Oil,Grocery,Fortune,ABC Suppliers,4,180,11,709,549.72,159.28,Cash,New,Ravi,79,July
INV00099,2025-12-20,Bread,Bakery,Britannia,XYZ Traders,1,45,2,43,33.77,9.23,Cash,New,Sneha,74,December
INV00100,2025-07-01,Biscuits,Snacks,Parle,ABC Suppliers,1,30,16,14,10.58,3.42,UPI,Regular,Sneha,146,July
INV00101,2025-03-11,Shampoo,Personal Care,Clinic Plus,ABC Suppliers,5,220,6,1094,778.37,315.63,Card,New,Ravi,75,March
INV00102,2025-04-28,Rice 5kg,Grocery,India Gate,ABC Suppliers,3,450,0,1350,1079.39,270.61,Card,Regular,Anil,111,April
INV00103,2025-04-15,Rice 5kg,Grocery,India Gate,ABC Suppliers,3,450,31,1319,945.05,373.95,Cash,Regular,Sneha,99,April
INV00104,2025-07-31,Shampoo,Personal Care,Clinic Plus,Metro Distributors,5,220,21,1079,843.53,235.47,Cash,New,Priya,24,July
INV00105,2025-11-03,Milk 1L,Dairy,Amul,ABC Suppliers,3,65,26,169,117.09,51.91,Card,New,Anil,83,November
INV00106,2025-09-08,Shampoo,Personal Care,Clinic Plus,XYZ Traders,1,220,1,219,148.01,70.99,Card,Regular,Sneha,147,September
INV00107,2025-11-28,Bread,Bakery,Britannia,XYZ Traders,2,45,18,72,52.33,19.67,Cash,Regular,Sneha,113,November
INV00108,2025-04-20,Soap,Personal Care,Lux,Fresh Foods,4,40,17,143,100.66,42.34,Card,New,Priya,31,April
INV00109,2025-02-09,Sugar 1kg,Grocery,Madhur,Fresh Foods,4,55,28,192,132.92,59.08,Card,Regular,Priya,124,February
INV00110,2025-03-29,Soft Drink,Beverages,Coca-Cola,ABC Suppliers,3,45,3,132,90.75,41.25,UPI,Regular,Priya,37,March
INV00111,2025-09-30,Shampoo,Personal Care,Clinic Plus,Fresh Foods,3,220,33,627,421.39,205.61,Card,Regular,Sneha,46,September
INV00112,2025-12-03,Sugar 1kg,Grocery,Madhur,Metro Distributors,1,55,21,34,26.57,7.43,Cash,Regular,Sneha,87,December
INV00113,2025-08-24,Bread,Bakery,Britannia,Metro Distributors,1,45,22,23,17.63,5.37,Cash,New,Ravi,92,August
INV00114,2025-10-02,Bread,Bakery,Britannia,XYZ Traders,4,45,4,176,130.6,45.4,UPI,Regular,Anil,146,October
INV00115,2025-01-14,Milk 1L,Dairy,Amul,ABC Suppliers,3,65,19,176,124.29,51.71,Card,New,Sneha,105,January
INV00116,2025-10-31,Soap,Personal Care,Lux,XYZ Traders,3,40,18,102,80.12,21.88,Card,New,Ravi,27,October
INV00117,2025-01-17,Cooking Oil,Grocery,Fortune,XYZ Traders,4,180,11,709,542.55,166.45,Cash,Regular,Ravi,46,January
INV00118,2025-11-27,Sugar 1kg,Grocery,Madhur,ABC Suppliers,2,55,0,110,80.92,29.08,UPI,New,Sneha,63,November
INV00119,2025-01-31,Bread,Bakery,Britannia,XYZ Traders,1,45,39,6,4.5,1.5,Card,New,Priya,25,January
INV00120,2025-07-07,Sugar 1kg,Grocery,Madhur,XYZ Traders,4,55,11,209,147.45,61.55,Cash,New,Priya,27,July
INV00121,2025-02-06,Sugar 1kg,Grocery,Madhur,Metro Distributors,1,55,1,54,39.13,14.87,Cash,New,Sneha,81,February
INV00122,2025-11-20,Soap,Personal Care,Lux,Metro Distributors,3,40,40,80,57.67,22.33,Card,New,Ravi,123,November
INV00123,2025-06-19,Biscuits,Snacks,Parle,Fresh Foods,3,30,14,76,59.42,16.58,Cash,New,Priya,41,June
INV00124,2025-06-08,Milk 1L,Dairy,Amul,Metro Distributors,3,65,33,162,119.06,42.94,UPI,Regular,Ravi,17,June
INV00125,2025-10-23,Soap,Personal Care,Lux,ABC Suppliers,2,40,21,59,46.42,12.58,UPI,New,Priya,87,October
INV00126,2025-03-01,Milk 1L,Dairy,Amul,Fresh Foods,2,65,35,95,72.9,22.1,Card,Regular,Anil,139,March
INV00127,2025-06-07,Rice 5kg,Grocery,India Gate,Metro Distributors,3,450,29,1321,914.44,406.56,Cash,Regular,Priya,143,June
INV00128,2025-02-04,Sugar 1kg,Grocery,Madhur,XYZ Traders,2,55,31,79,56.73,22.27,UPI,New,Priya,39,February
INV00129,2025-05-07,Bread,Bakery,Britannia,Metro Distributors,2,45,2,88,61.36,26.64,Card,Regular,Priya,74,May
INV00130,2025-10-13,Cooking Oil,Grocery,Fortune,Fresh Foods,2,180,3,357,244.81,112.19,Cash,Regular,Ravi,83,October
INV00131,2025-01-04,Shampoo,Personal Care,Clinic Plus,Metro Distributors,3,220,23,637,479.92,157.08,Card,New,Priya,140,January
INV00132,2025-03-11,Soft Drink,Beverages,Coca-Cola,Fresh Foods,4,45,34,146,110.15,35.85,Card,New,Sneha,39,March
INV00133,2025-10-30,Bread,Bakery,Britannia,Metro Distributors,2,45,28,62,49.06,12.94,Card,New,Priya,53,October
INV00134,2025-10-12,Cooking Oil,Grocery,Fortune,ABC Suppliers,5,180,18,882,677.26,204.74,Cash,Regular,Anil,126,October
INV00135,2025-09-02,Cooking Oil,Grocery,Fortune,Fresh Foods,4,180,23,697,482.36,214.64,UPI,New,Anil,17,September
INV00136,2025-10-10,Rice 5kg,Grocery,India Gate,Fresh Foods,2,450,10,890,600.34,289.66,Cash,Regular,Priya,137,October
INV00137,2025-12-24,Sugar 1kg,Grocery,Madhur,Metro Distributors,2,55,21,89,59.55,29.45,UPI,New,Ravi,112,December
INV00138,2025-08-14,Soft Drink,Beverages,Coca-Cola,Fresh Foods,3,45,26,109,71.92,37.08,Cash,Regular,Anil,132,August
INV00139,2025-08-20,Cooking Oil,Grocery,Fortune,XYZ Traders,5,180,37,863,681.76,181.24,Card,Regular,Priya,121,August
INV00140,2025-07-04,Bread,Bakery,Britannia,XYZ Traders,2,45,19,71,48.24,22.76,Card,Regular,Anil,135,July
INV00141,2025-07-28,Rice 5kg,Grocery,India Gate,XYZ Traders,1,450,34,416,294.53,121.47,UPI,New,Priya,68,July
INV00142,2025-04-16,Bread,Bakery,Britannia,Fresh Foods,3,45,39,96,64.17,31.83,Card,Regular,Sneha,92,April
INV00143,2025-01-06,Cooking Oil,Grocery,Fortune,XYZ Traders,3,180,38,502,347.94,154.06,Cash,Regular,Anil,40,January
INV00144,2025-09-29,Biscuits,Snacks,Parle,XYZ Traders,1,30,34,-4,-3.07,-0.93,UPI,New,Sneha,64,September
INV00145,2025-08-14,Bread,Bakery,Britannia,Metro Distributors,4,45,36,144,99.32,44.68,Card,New,Sneha,18,August
INV00146,2025-08-25,Rice 5kg,Grocery,India Gate,Fresh Foods,4,450,0,1800,1356.68,443.32,Cash,New,Sneha,45,August
INV00147,2025-06-09,Rice 5kg,Grocery,India Gate,XYZ Traders,5,450,10,2240,1540.56,699.44,Card,Regular,Sneha,141,June
INV00148,2025-11-11,Soap,Personal Care,Lux,ABC Suppliers,5,40,2,198,151.27,46.73,Cash,New,Anil,137,November
INV00149,2025-02-25,Sugar 1kg,Grocery,Madhur,XYZ Traders,2,55,6,104,69.97,34.03,UPI,Regular,Sneha,91,February
INV00150,2025-03-22,Soap,Personal Care,Lux,Fresh Foods,4,40,17,143,107.62,35.38,Card,Regular,Sneha,5,March
INV00151,2025-05-17,Cooking Oil,Grocery,Fortune,Metro Distributors,3,180,2,538,422.54,115.46,UPI,New,Priya,140,May
INV00152,2025-10-31,Cooking Oil,Grocery,Fortune,ABC Suppliers,3,180,37,503,401.33,101.67,Cash,Regular,Anil,79,October
INV00153,2025-03-28,Shampoo,Personal Care,Clinic Plus,Fresh Foods,1,220,13,207,154.99,52.01,Card,Regular,Anil,63,March
INV00154,2025-04-23,Biscuits,Snacks,Parle,ABC Suppliers,2,30,3,57,38.34,18.66,Cash,New,Ravi,9,April
INV00155,2025-03-13,Toothpaste,Personal Care,Colgate,Metro Distributors,1,110,28,82,54.2,27.8,Card,Regular,Priya,108,March
INV00156,2025-05-14,Rice 5kg,Grocery,India Gate,Fresh Foods,3,450,25,1325,928.08,396.92,UPI,Regular,Sneha,34,May
INV00157,2025-08-13,Soft Drink,Beverages,Coca-Cola,XYZ Traders,5,45,29,196,148.19,47.81,Card,Regular,Priya,110,August
INV00158,2025-09-18,Cooking Oil,Grocery,Fortune,Fresh Foods,1,180,16,164,129.09,34.91,Cash,Regular,Priya,43,September
INV00159,2025-01-05,Rice 5kg,Grocery,India Gate,XYZ Traders,2,450,26,874,650.26,223.74,UPI,Regular,Anil,144,January
INV00160,2025-11-25,Soap,Personal Care,Lux,ABC Suppliers,2,40,18,62,48.99,13.01,UPI,Regular,Anil,126,November
INV00161,2025-12-16,Soft Drink,Beverages,Coca-Cola,ABC Suppliers,2,45,21,69,48.13,20.87,Card,New,Sneha,44,December
INV00162,2025-02-18,Soft Drink,Beverages,Coca-Cola,XYZ Traders,3,45,8,127,86.14,40.86,Cash,Regular,Anil,60,February
INV00163,2025-12-24,Bread,Bakery,Britannia,ABC Suppliers,2,45,22,68,53.87,14.13,Cash,New,Sneha,27,December
INV00164,2025-12-23,Soft Drink,Beverages,Coca-Cola,ABC Suppliers,4,45,1,179,134.46,44.54,Cash,Regular,Priya,125,December
INV00165,2025-06-03,Soft Drink,Beverages,Coca-Cola,ABC Suppliers,5,45,39,186,122.75,63.25,Card,Regular,Anil,103,June
